Benchmark,Device,Device Name,Key,Word,BlockBits,NumInputs,FilterSizeMB,PatternBitsPerWord,Skipped,HBWPeak,L2HitRate,Samples,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec)
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,256,1000000000,128,20,No,0.02163491788728359,0.27526085528116345,2,11,0.3813371857272729,0.0002496612608772898,0.38132568914240056,0.0002489635125090435,2622430191.4958696
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,256,1000000000,256,20,No,0.0339469310968004,0.1682229822979459,2,11,0.3814818309090909,1.0743829603479904e-05,0.3814704534357244,1.0495042044543459e-05,2621435004.9747543
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,256,1000000000,512,20,No,0.04187162670061571,0.14993176141320144,2,11,0.38154948509090914,1.3308420111088633e-05,0.3815384521484375,1.3302351473023451e-05,2620967806.4399915
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,256,1000000000,1024,20,No,0.048112817465870504,0.1832083444668252,2,11,0.3816101219090909,0.0002520403381245765,0.3816001781116833,0.00025103685232866343,2620543850.2372212
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,256,1000000000,2048,20,No,0.05375266369118675,0.2402608217017102,2,11,0.38163376800000004,0.0002491658970084437,0.38162280550870026,0.00024887030471132653,2620388471.4568033
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,1,1,No,0.008001017491410045,0.8415118387043325,2,11,0.1318641359090909,2.2287367607208134e-05,0.13185418146306818,1.8973440169851986e-05,7584135663.381263
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,2,1,No,0.008006743350339645,0.8549615403913225,2,11,0.1318073158181818,1.4216248707949215e-05,0.1317974492853338,1.3318025235106134e-05,7587400252.603207
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,4,1,No,0.00800384903462019,0.8670048650663239,2,11,0.13181799972727273,0.0007088851957092945,0.1318076601895419,0.0007087587176283233,7586812470.246275
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,8,1,No,0.0080098030275369,0.8852928558004187,2,11,0.13177877854545453,2.2558237391142676e-05,0.13176826754483312,2.410150996972718e-05,7589080577.839106
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,16,1,No,0.008011378374235935,0.9194185501946212,2,11,0.13177526063636363,2.2050360296275356e-05,0.1317656014182351,2.1399251158570995e-05,7589234134.225335
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,32,1,No,0.008031194283598896,0.9865841709538812,2,11,0.13178454190909095,2.6751684872840523e-05,0.13177426008744675,2.6729090905239917e-05,7588735458.172103
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,64,1,No,0.019478043555186498,0.8488050050359361,2,11,0.1351716979090909,2.50521566723394e-05,0.1351612576571378,2.214703757166489e-05,7398569807.160939
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,128,1,No,0.06360071485366592,0.5714242308525393,2,11,0.1367690134545455,1.65094616929034e-05,0.13675877102938563,1.6051517623472625e-05,7312145264.782527
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,256,1,No,0.11042238662117035,0.5075557548759868,2,11,0.13720364281818184,2.3562305202956958e-05,0.13719300426136363,2.403071185322833e-05,7289001399.04306
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,512,1,No,0.1465290018378536,0.5139291225000114,2,11,0.13744936972727273,0.0006945405125154773,0.1374387498335405,0.0006955665820274765,7275968394.729681
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,1024,1,No,0.1669572503892375,0.50404597984956,2,11,0.13751814418181818,2.62981397155545e-05,0.13750856989080254,2.5701830473647093e-05,7272274017.496611
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,2048,1,No,0.17635922118882463,0.4870741671773385,2,11,0.13757174872727274,1.714595166363627e-05,0.13756207691539418,1.6901036595448913e-05,7269445347.317904
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,1,20,No,0.0007442331936927308,0.8400510240113301,2,11,1.4469120464545455,8.501704149328043e-05,1.4468984042080966,8.51317403919209e-05,691133528.8584487
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,2,20,No,0.0007358083548671248,0.8437034877672991,2,11,1.446916558909091,9.010601537219282e-05,1.4469037531072446,9.018681288558897e-05,691130973.8830154
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,4,20,No,0.0007357838762948697,0.851599397366325,2,11,1.4469392250909092,9.250554436608286e-05,1.4469263139204545,9.181987990141639e-05,691120197.6073645
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,8,20,No,0.00073656907527833,0.8549312798756167,2,11,1.4469297182727274,8.355668874057631e-05,1.4469167813387787,8.376805791803338e-05,691124750.8476175
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,16,20,No,0.0007380635405253987,0.8588445596053876,2,11,1.4469915560909092,9.296019997529356e-05,1.446978171608665,9.321956586127468e-05,691095428.8192606
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,32,20,No,0.000742465521803371,0.8654048023740469,2,11,1.4469499573636364,0.00010379884894087425,1.4469370339133525,0.00010359439608966337,691115077.2714851
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,64,20,No,0.0018441511845705546,0.6665520073209614,2,11,1.449036734909091,8.905843849502577e-05,1.4490229714133525,8.940023988585847e-05,690120184.2401552
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,128,20,No,0.0057611508515580424,0.3445621517177304,2,11,1.4508665480909093,9.262177135527187e-05,1.4508528941761363,9.26056311469132e-05,689249753.7235489
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,256,20,No,0.008994803823306698,0.20422030426493315,2,11,1.4513370584545457,8.610248126712337e-05,1.4513236305930397,8.634397737618656e-05,689026195.7571656
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,512,20,No,0.011082564660037464,0.17010598099352114,2,11,1.4515035306363637,8.698058980234475e-05,1.4514904341264205,8.6744536369038e-05,688947013.6962012
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,1024,20,No,0.012733794970131324,0.20005635425268714,2,11,1.4515675946363638,9.369316456488633e-05,1.4515542325106532,9.356990063480541e-05,688916733.2524456
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,512,1000000000,2048,20,No,0.014702325050543768,0.2935295437583794,2,11,1.4516380783636365,0.0001059691117389448,1.4516252885298295,0.00010580895230176085,688883011.2713009
